field_id,fp_id,lab_no,harvest,adf
g1,101,331,H1,30.194
g1,101,331,H1,30.215
g1,102,331,H1,31.676
g1,102,331,H1,30.921
g1,103,331,H1,31.117
g1,103,331,H1,30.153
g1,104,331,H1,31.665
g1,104,331,H1,30.998
g1,105,331,H1,27.98
g1,105,331,H1,29.803
g1,106,331,H1,33.039
g1,106,331,H1,32.716
g1,107,331,H1,33.738
g1,107,331,H1,33.747
g1,108,331,H1,31.803
g1,108,331,H1,30.608
g1,109,331,H1,31.662
g1,109,331,H1,30.122
g1,110,331,H1,30.564
g1,110,331,H1,30.672
g1,111,331,H1,35.08
g1,111,331,H1,37.112
g1,112,331,H1,33.89
g1,112,331,H1,33.295
g1,113,331,H1,37.552
g1,113,331,H1,36.264
g1,114,331,H1,37.578
g1,114,331,H1,37.21
g1,115,331,H1,33.828
g1,115,331,H1,33.913
g1,116,331,H1,32.511
g1,116,331,H1,33.824
g1,117,331,H1,33.442
g1,117,331,H1,31.85
g1,118,331,H1,33.494
g1,118,331,H1,33.774
g1,119,331,H1,37.381
g1,119,331,H1,37.696
g1,120,331,H1,34.55
g1,120,331,H1,34.021
g2,201,331,H1,29.506
g2,201,331,H1,29.299
g2,202,332,H1,NA
g2,202,333,H1,NA
g2,203,331,H1,38
g2,203,331,H1,38.429
g2,204,331,H1,30.336
g2,204,331,H1,32.502
g2,205,331,H1,31.451
g2,205,331,H1,31.226
g2,206,331,H1,33.417
g2,206,331,H1,34.448
g2,207,331,H1,31.2
g2,207,331,H1,31.897
g2,208,331,H1,36.211
g2,208,331,H1,39.022
g2,209,331,H1,33.955
g2,209,331,H1,34.236
g2,210,331,H1,33.577
g2,210,331,H1,34.611
g2,211,331,H1,34.603
g2,211,331,H1,34.676
g2,212,331,H1,32.116
g2,212,331,H1,32.024
g2,213,331,H1,36.366
g2,213,331,H1,35.978
g2,214,331,H1,37.307
g2,214,331,H1,38.137
g2,215,331,H1,34.84
g2,215,331,H1,32.219
g2,216,331,H1,32.808
g2,216,331,H1,32.226
g2,217,331,H1,35.688
g2,217,331,H1,36.08
g2,218,331,H1,30.459
g2,218,331,H1,31.641
g2,219,331,H1,39.291
g2,219,331,H1,37.785
g2,220,331,H1,35.23
g2,220,331,H1,33.517
g3,301,331,H1,36.085
g3,301,331,H1,33.829
g3,302,331,H1,31.8
g3,302,331,H1,32.26
g3,303,331,H1,31.041
g3,303,331,H1,30.73
g3,304,331,H1,32.103
g3,304,331,H1,30.998
g3,305,331,H1,33.264
g3,305,331,H1,32.839
g3,306,331,H1,30.123
g3,306,331,H1,31.339
g3,307,331,H1,29.712
g3,307,331,H1,29.364
g3,308,331,H1,31.532
g3,308,331,H1,32.177
g3,309,331,H1,33.117
g3,309,331,H1,34.482
g3,310,331,H1,32.045
g3,310,331,H1,30.738
g3,311,331,H1,32.784
g3,311,331,H1,32.958
g3,312,331,H1,30.983
g3,312,331,H1,32.911
g3,313,331,H1,32.612
g3,313,331,H1,32.894
g3,314,331,H1,31.938
g3,314,331,H1,31.322
g3,315,331,H1,28.765
g3,315,331,H1,28.685
g3,316,331,H1,30.43
g3,316,331,H1,30.994
g3,317,331,H1,27.721
g3,317,331,H1,27.218
g3,318,331,H1,29.028
g3,318,331,H1,29.127
g3,319,331,H1,30.282
g3,319,331,H1,29.729
g3,320,331,H1,28.088
g3,320,331,H1,27.929
g3,321,331,H2,31.472
g3,321,331,H2,32.533
g3,322,331,H2,NA
g3,322,331,H2,NA
g3,323,331,H2,NA
g3,323,331,H2,NA
g3,324,331,H2,27.402
g3,324,331,H2,27.777
g3,325,331,H2,28.525
g3,325,331,H2,30.903
g3,326,331,H2,30.287
g3,326,331,H2,31.655
g3,327,331,H2,30.282
g3,327,331,H2,30.078
g3,328,331,H2,NA
g3,328,331,H2,NA
g3,329,331,H2,35.313
g3,329,331,H2,34.903
g3,330,331,H2,29.706
g3,330,331,H2,29.746
g3,331,331,H2,30.719
g3,331,331,H2,30.266
g3,332,331,H2,32.532
g3,332,331,H2,34.046
g3,333,331,H2,NA
g3,333,331,H2,NA
g3,334,331,H2,31.811
g3,334,331,H2,32.725
g3,335,331,H2,30.84
g3,335,331,H2,29.433
g3,336,331,H2,NA
g3,336,331,H2,NA
g3,337,331,H2,29.786
g3,337,331,H2,30.669
g3,338,331,H2,31.994
g3,338,331,H2,33.392
g3,339,331,H2,29.34
g3,339,331,H2,28.348
g3,340,331,H2,29.65
g3,340,331,H2,28.594
g4,401,331,H1,27.453
g4,401,331,H1,27.85
g4,402,331,H1,27.271
g4,402,331,H1,26.614
g4,403,331,H1,30.63
g4,403,331,H1,31.035
g4,404,331,H1,23.074
g4,404,331,H1,23.407
g4,405,331,H1,29.805
g4,405,331,H1,30.422
g4,406,331,H1,27.719
g4,406,331,H1,27.593
g4,407,331,H1,25.68
g4,407,331,H1,25.704
g4,408,331,H1,27.518
g4,408,331,H1,28.228
g4,409,331,H1,26.191
g4,409,331,H1,26.855
g4,410,331,H1,25.715
g4,410,331,H1,26.163
g4,411,331,H1,25.545
g4,411,331,H1,24.977
g4,412,331,H1,26.083
g4,412,331,H1,26.471
g4,413,331,H1,28.87
g4,413,331,H1,28.354
g4,414,331,H1,27.001
g4,414,331,H1,27.728
g4,415,331,H1,24.464
g4,415,331,H1,24.929
g4,416,331,H1,27.388
g4,416,331,H1,26.343
g4,417,331,H1,27.26
g4,417,331,H1,29.42
g4,418,331,H1,29.862
g4,418,331,H1,29.468
g4,419,331,H1,29.103
g4,419,331,H1,29.591
g4,420,331,H1,26.275
g4,420,331,H1,28.542
g4,421,331,H2,27.757
g4,421,331,H2,27.729
g4,422,331,H2,27.889
g4,422,331,H2,28.85
g4,423,331,H2,25.74
g4,423,331,H2,24.865
g4,424,331,H2,25.754
g4,424,331,H2,26.084
g4,425,331,H2,26.607
g4,425,331,H2,26.133
g4,426,331,H2,24.468
g4,426,331,H2,25.428
g4,427,331,H2,26.354
g4,427,331,H2,26.539
g4,428,331,H2,25.159
g4,428,331,H2,24.982
g4,429,331,H2,24.799
g4,429,331,H2,25.595
g4,430,331,H2,26.344
g4,430,331,H2,24.827
g4,431,331,H2,23.062
g4,431,331,H2,24.311
g4,432,331,H2,23.026
g4,432,331,H2,23.247
g4,433,331,H2,23.887
g4,433,331,H2,23.976
g4,434,331,H2,26.28
g4,434,331,H2,24.9
g4,435,331,H2,22.31
g4,435,331,H2,22.687
g4,436,331,H2,23.999
g4,436,331,H2,23.651
g4,437,331,H2,27.095
g4,437,331,H2,27.351
g4,438,331,H2,30.301
g4,438,331,H2,30.706
g4,439,331,H2,29.139
g4,439,331,H2,29.247
g4,440,331,H2,25.63
g4,440,331,H2,26.093
g4,441,331,H3,32.085
g4,441,331,H3,32.483
g4,442,331,H3,31.136
g4,442,331,H3,30.434
g4,443,331,H3,34.394
g4,443,331,H3,36.442
g4,444,331,H3,30.746
g4,444,331,H3,31.242
g4,445,331,H3,28.994
g4,445,331,H3,28.262
g4,446,331,H3,29.271
g4,446,331,H3,29.071
g4,447,331,H3,30.699
g4,447,331,H3,30.725
g4,448,331,H3,28.981
g4,448,331,H3,29.152
g4,449,331,H3,29.428
g4,449,331,H3,29.477
g4,450,331,H3,26.985
g4,450,331,H3,27.058
g4,451,331,H3,28.413
g4,451,331,H3,29.048
g4,452,331,H3,29.21
g4,452,331,H3,29.78
g4,453,331,H3,28.163
g4,453,331,H3,28.649
g4,454,331,H3,30.902
g4,454,331,H3,32.432
g4,455,331,H3,24.599
g4,455,331,H3,25.189
g4,456,331,H3,29.252
g4,456,331,H3,30.39
g4,457,331,H3,31.053
g4,457,331,H3,30.405
g4,458,331,H3,29.523
g4,458,331,H3,28.917
g4,459,331,H3,26.272
g4,459,331,H3,26.41
g4,460,331,H3,29.52
g4,460,331,H3,29.691
