"field_id","fp_id","harvest","adf"
"g1",101,"H1",30.2045
"g1",102,"H1",31.2985
"g1",103,"H1",30.635
"g1",104,"H1",31.3315
"g1",105,"H1",28.8915
"g1",106,"H1",32.8775
"g1",107,"H1",33.7425
"g1",108,"H1",31.2055
"g1",109,"H1",30.892
"g1",110,"H1",30.618
"g1",111,"H1",36.096
"g1",112,"H1",33.5925
"g1",113,"H1",36.908
"g1",114,"H1",37.394
"g1",115,"H1",33.8705
"g1",116,"H1",33.1675
"g1",117,"H1",32.646
"g1",118,"H1",33.634
"g1",119,"H1",37.5385
"g1",120,"H1",34.2855
"g2",201,"H1",29.4025
"g2",202,"H1",NA
"g2",203,"H1",38.2145
"g2",204,"H1",31.419
"g2",205,"H1",31.3385
"g2",206,"H1",33.9325
"g2",207,"H1",31.5485
"g2",208,"H1",37.6165
"g2",209,"H1",34.0955
"g2",210,"H1",34.094
"g2",211,"H1",34.6395
"g2",212,"H1",32.07
"g2",213,"H1",36.172
"g2",214,"H1",37.722
"g2",215,"H1",33.5295
"g2",216,"H1",32.517
"g2",217,"H1",35.884
"g2",218,"H1",31.05
"g2",219,"H1",38.538
"g2",220,"H1",34.3735
"g3",301,"H1",34.957
"g3",302,"H1",32.03
"g3",303,"H1",30.8855
"g3",304,"H1",31.5505
"g3",305,"H1",33.0515
"g3",306,"H1",30.731
"g3",307,"H1",29.538
"g3",308,"H1",31.8545
"g3",309,"H1",33.7995
"g3",310,"H1",31.3915
"g3",311,"H1",32.871
"g3",312,"H1",31.947
"g3",313,"H1",32.753
"g3",314,"H1",31.63
"g3",315,"H1",28.725
"g3",316,"H1",30.712
"g3",317,"H1",27.4695
"g3",318,"H1",29.0775
"g3",319,"H1",30.0055
"g3",320,"H1",28.0085
"g3",321,"H2",32.0025
"g3",322,"H2",NA
"g3",323,"H2",NA
"g3",324,"H2",27.5895
"g3",325,"H2",29.714
"g3",326,"H2",30.971
"g3",327,"H2",30.18
"g3",328,"H2",NA
"g3",329,"H2",35.108
"g3",330,"H2",29.726
"g3",331,"H2",30.4925
"g3",332,"H2",33.289
"g3",333,"H2",NA
"g3",334,"H2",32.268
"g3",335,"H2",30.1365
"g3",336,"H2",NA
"g3",337,"H2",30.2275
"g3",338,"H2",32.693
"g3",339,"H2",28.844
"g3",340,"H2",29.122
"g4",401,"H1",27.6515
"g4",402,"H1",26.9425
"g4",403,"H1",30.8325
"g4",404,"H1",23.2405
"g4",405,"H1",30.1135
"g4",406,"H1",27.656
"g4",407,"H1",25.692
"g4",408,"H1",27.873
"g4",409,"H1",26.523
"g4",410,"H1",25.939
"g4",411,"H1",25.261
"g4",412,"H1",26.277
"g4",413,"H1",28.612
"g4",414,"H1",27.3645
"g4",415,"H1",24.6965
"g4",416,"H1",26.8655
"g4",417,"H1",28.34
"g4",418,"H1",29.665
"g4",419,"H1",29.347
"g4",420,"H1",27.4085
"g4",421,"H2",27.743
"g4",422,"H2",28.3695
"g4",423,"H2",25.3025
"g4",424,"H2",25.919
"g4",425,"H2",26.37
"g4",426,"H2",24.948
"g4",427,"H2",26.4465
"g4",428,"H2",25.0705
"g4",429,"H2",25.197
"g4",430,"H2",25.5855
"g4",431,"H2",23.6865
"g4",432,"H2",23.1365
"g4",433,"H2",23.9315
"g4",434,"H2",25.59
"g4",435,"H2",22.4985
"g4",436,"H2",23.825
"g4",437,"H2",27.223
"g4",438,"H2",30.5035
"g4",439,"H2",29.193
"g4",440,"H2",25.8615
"g4",441,"H3",32.284
"g4",442,"H3",30.785
"g4",443,"H3",35.418
"g4",444,"H3",30.994
"g4",445,"H3",28.628
"g4",446,"H3",29.171
"g4",447,"H3",30.712
"g4",448,"H3",29.0665
"g4",449,"H3",29.4525
"g4",450,"H3",27.0215
"g4",451,"H3",28.7305
"g4",452,"H3",29.495
"g4",453,"H3",28.406
"g4",454,"H3",31.667
"g4",455,"H3",24.894
"g4",456,"H3",29.821
"g4",457,"H3",30.729
"g4",458,"H3",29.22
"g4",459,"H3",26.341
"g4",460,"H3",29.6055
