field_id,fp_id,lab_no,harvest,fb,fb_sample,db_sample,db_p,db
g1,101,331,H1,0.049,0.028,0.013,45.29,0.022
g1,102,331,H1,0.424,0.108,0.036,33.08,0.140
g1,103,331,H1,0.262,0.074,0.029,38.68,0.101
g1,104,331,H1,0.41,0.084,0.029,34.02,0.139
g1,105,331,H1,0.153,0.071,0.026,37.08,0.057
g1,106,331,H1,0.289,0.119,0.044,36.76,0.106
g1,107,331,H1,0.353,0.085,0.033,38.92,0.137
g1,108,331,H1,0.29,0.103,0.041,40.20,0.117
g1,109,331,H1,0.119,0.059,0.024,41.51,0.049
g1,110,331,H1,0.373,0.106,0.040,37.36,0.139
g1,111,331,H1,0.558,0.143,0.052,36.27,0.202
g1,112,331,H1,0.413,0.104,0.038,36.33,0.150
g1,113,331,H1,0.52,0.19,0.078,41.18,0.214
g1,114,331,H1,0.437,0.131,0.047,35.96,0.157
g1,115,331,H1,0.823,0.136,0.049,35.86,0.295
g1,116,331,H1,0.306,0.122,0.045,37.22,0.114
g1,117,331,H1,0.232,0.092,0.039,42.08,0.098
g1,118,331,H1,0.562,0.161,0.061,37.69,0.212
g1,119,331,H1,0.708,0.154,0.049,31.55,0.223
g1,120,331,H1,0.341,0.1,0.036,36.10,0.123
