field_id,fp_id,lab_no,harvest,doy,fb,fb_sample,db_sample,db_p,db
g2,201,331,H1,195,0.128,0.046,0.021,45.13,0.058
g2,202,331,H1,195,0.011,0.011,0.006,55.82,0.006
g2,203,331,H1,195,0.04,0.016,0.009,59,0.024
g2,204,331,H1,195,0.093,0.034,0.016,47.88,0.045
g2,205,331,H1,195,0.109,0.051,0.025,48.29,0.053
g2,206,331,H1,195,0.063,0.03,0.016,52,0.033
g2,207,331,H1,195,0.133,0.063,0.029,46.62,0.062
g2,208,331,H1,195,0.016,0.008,0.004,49.5,0.008
g2,209,331,H1,195,0.038,0.017,0.01,56.53,0.021
g2,210,331,H1,195,0.047,0.018,0.009,48,0.023
g2,211,331,H1,195,0.031,0.009,0.005,55.89,0.017
g2,212,331,H1,195,0.049,0.023,0.013,55.35,0.027
g2,213,331,H1,195,0.033,0.014,0.007,51.57,0.017
g2,214,331,H1,195,0.046,0.024,0.011,46.79,0.022
g2,215,331,H1,195,0.023,0.011,0.006,57,0.013
g2,216,331,H1,195,0.055,0.021,0.01,49.76,0.027
g2,217,331,H1,195,0.031,0.012,0.007,54.75,0.017
g2,218,331,H1,195,0.104,0.056,0.029,51.14,0.053
g2,219,331,H1,195,0.057,0.02,0.01,51.45,0.029
g2,220,331,H1,195,0.103,0.045,0.023,51.8,0.053
