"field_id","fp_id","lab_no","harvest","n","c","cn_ratio"
"g1",101,331,"H1",1.405807495,45.06924057,32.05932617
"g1",102,331,"H1",1.27442348,44.94712448,35.26859283
"g1",103,331,"H1",1.274815321,44.99882126,35.29830551
"g1",104,331,"H1",1.234998345,45.2730751,36.65840912
"g1",105,331,"H1",1.387887836,44.88229752,32.33856201
"g1",106,331,"H1",1.341743946,45.4376564,33.86462402
"g1",107,331,"H1",1.718335629,45.74464417,26.62148476
"g1",108,331,"H1",1.35896039,45.17063904,33.23911285
"g1",109,331,"H1",1.527117968,45.37871552,29.71526527
"g1",110,331,"H1",1.444723606,45.74217224,31.66153908
"g1",111,331,"H1",1.331415176,44.76540756,33.62242508
"g1",112,331,"H1",1.553407907,44.62021255,28.72407913
"g1",113,331,"H1",1.251929283,44.4343338,35.49268723
"g1",114,331,"H1",1.380014062,45.0025177,32.61018753
"g1",115,331,"H1",1.462402105,44.7808075,30.62140465
"g1",116,331,"H1",1.45293045,45.46380997,31.2911129
"g1",117,331,"H1",1.521726489,45.80059814,30.09778595
"g1",118,331,"H1",1.525529027,44.57222748,29.21755409
"g1",119,331,"H1",1.619182467,45.16464233,27.89348602
"g1",120,331,"H1",1.450732231,43.72057343,30.13689995
"g2",201,331,"H1",1.416159272,45.15037918,31.88227463
"g2",202,331,"H1",NA,NA,NA
"g2",203,331,"H1",1.066666245,45.5480957,42.70135498
"g2",204,331,"H1",1.413484335,45.21871567,31.99095726
"g2",205,331,"H1",1.415017247,45.90909958,32.44419861
"g2",206,331,"H1",1.410822749,45.68645477,32.38284683
"g2",207,331,"H1",1.334945083,45.34619141,33.96858215
"g2",208,331,"H1",1.245785117,46.1207428,37.02142715
"g2",209,331,"H1",1.224452615,45.17769623,36.89624023
"g2",210,331,"H1",1.426719069,46.425457,32.54001236
"g2",211,331,"H1",1.231228948,45.16823959,36.68549347
"g2",212,331,"H1",1.283161998,45.95860291,35.81668091
"g2",213,331,"H1",1.11957109,45.78525162,40.89535141
"g2",214,331,"H1",1.295568943,46.2305603,35.68359756
"g2",215,331,"H1",1.1881212,46.41471481,39.0656395
"g2",216,331,"H1",1.15691328,45.89774323,39.67258835
"g2",217,331,"H1",0.822802424,45.98390198,55.88693237
"g2",218,331,"H1",1.2836833,45.3507576,35.3286171
"g2",219,331,"H1",1.194336653,46.13166428,38.62534332
"g2",220,331,"H1",1.268879414,45.85653687,36.13939667
"g3",301,331,"H1",1.263723016,44.95306396,35.57192612
"g3",302,331,"H1",1.482224584,45.06837845,30.40590477
"g3",303,331,"H1",1.263416052,44.85312271,35.50146484
"g3",304,331,"H1",1.63247025,44.45846176,27.23385811
"g3",305,331,"H1",1.592034221,44.90329742,28.20498276
"g3",306,331,"H1",1.419276595,45.08026505,31.76284599
"g3",307,331,"H1",1.623634338,43.70035172,26.91514397
"g3",308,331,"H1",1.463912368,44.73101807,30.5558033
"g3",309,331,"H1",1.366496325,45.28763199,33.14142227
"g3",310,331,"H1",1.334545016,44.51663208,33.35715866
"g3",311,331,"H1",1.36785996,44.99165344,32.89200211
"g3",312,331,"H1",1.443480611,44.3632431,30.73352242
"g3",313,331,"H1",1.576459765,44.73770523,28.37858963
"g3",314,331,"H1",1.461565256,44.95170593,30.755867
"g3",315,331,"H1",1.666376591,44.42554474,26.65996742
"g3",316,331,"H1",1.484174013,44.84409332,30.21484947
"g3",317,331,"H1",1.598307133,43.12995911,26.98477554
"g3",318,331,"H1",1.618658543,44.533535,27.51261902
"g3",319,331,"H1",1.76426065,44.77345276,25.37802696
"g3",320,331,"H1",1.599362493,44.07257843,27.55634117
"g3",321,331,"H2",1.861692667,46.18702698,24.80915833
"g3",322,331,"H2",NA,NA,NA
"g3",323,331,"H2",NA,NA,NA
"g3",324,331,"H2",1.875601172,45.84749603,24.44416046
"g3",325,331,"H2",1.939027905,45.77114105,23.60519981
"g3",326,331,"H2",1.738841653,45.3951416,26.10654068
"g3",327,331,"H2",1.732414126,44.97986603,25.96369171
"g3",328,331,"H2",NA,NA,NA
"g3",329,331,"H2",1.52667141,45.64861679,29.9007473
"g3",330,331,"H2",1.595257044,44.86878204,28.12636566
"g3",331,331,"H2",1.912467003,46.20498276,24.15988541
"g3",332,331,"H2",1.584015846,45.18737411,28.5270977
"g3",333,331,"H2",NA,NA,NA
"g3",334,331,"H2",1.641577721,45.87460709,27.94543648
"g3",335,331,"H2",1.821386099,44.17541122,24.25373268
"g3",336,331,"H2",NA,NA,NA
"g3",337,331,"H2",1.702782989,45.11612701,26.49552345
"g3",338,331,"H2",1.517208219,44.86386871,29.57001495
"g3",339,331,"H2",1.823959947,45.21144104,24.78751945
"g3",340,331,"H2",1.890066385,44.77242279,23.68828011
"g4",401,331,"H1",3.270597935,43.24485779,13.22230911
"g4",402,331,"H1",2.506144762,44.63055038,17.80844879
"g4",403,331,"H1",2.552646399,44.48033524,17.42518425
"g4",404,331,"H1",2.517511129,44.10796738,17.52046585
"g4",405,331,"H1",2.969926357,44.1318512,14.85957718
"g4",406,331,"H1",2.468873739,44.13292313,17.87573051
"g4",407,331,"H1",2.554682255,44.2851181,17.33488274
"g4",408,331,"H1",2.744309902,43.80325317,15.96148205
"g4",409,331,"H1",2.368071795,44.09383774,18.62014389
"g4",410,331,"H1",3.10284543,43.5720787,14.04261971
"g4",411,331,"H1",2.373258591,44.26531219,18.65170288
"g4",412,331,"H1",2.573163986,43.96386337,17.08552742
"g4",413,331,"H1",2.716594458,44.46595764,16.36827278
"g4",414,331,"H1",3.184030533,44.00911331,13.82182503
"g4",415,331,"H1",2.703672409,43.57884979,16.11839104
"g4",416,331,"H1",2.388765335,44.04315567,18.43762398
"g4",417,331,"H1",2.383545637,44.17105865,18.53166008
"g4",418,331,"H1",2.745533705,43.8755188,15.9806881
"g4",419,331,"H1",2.376997709,44.51380539,18.72690201
"g4",420,331,"H1",3.086167336,44.31803513,14.36021805
"g4",421,331,"H2",3.06419611,45.07949066,14.71168613
"g4",422,331,"H2",3.370520592,45.30665588,13.44203472
"g4",423,331,"H2",3.374805689,45.33688354,13.43392372
"g4",424,331,"H2",2.721064329,44.47514343,16.34476089
"g4",425,331,"H2",3.415391207,45.34197998,13.27577972
"g4",426,331,"H2",2.983897448,44.47554779,14.90518665
"g4",427,331,"H2",2.931834459,44.84959412,15.29745102
"g4",428,331,"H2",3.456161261,45.74132156,13.23471832
"g4",429,331,"H2",3.123939037,44.80283356,14.34177589
"g4",430,331,"H2",3.057287693,44.91830826,14.69220829
"g4",431,331,"H2",3.163613319,44.78968048,14.15776062
"g4",432,331,"H2",2.995976686,44.45711899,14.83894062
"g4",433,331,"H2",3.185436249,45.26018524,14.20847321
"g4",434,331,"H2",3.032400131,45.50162888,15.00515366
"g4",435,331,"H2",3.736395836,45.95450211,12.29915237
"g4",436,331,"H2",2.897405863,45.1267395,15.57487679
"g4",437,331,"H2",2.770545244,45.11122894,16.28243637
"g4",438,331,"H2",2.867511272,45.07023239,15.7175436
"g4",439,331,"H2",3.073803186,45.62210083,14.8422327
"g4",440,331,"H2",3.232477665,45.7492218,14.15298939
"g4",441,331,"H3",1.985442519,43.99880219,22.16070366
"g4",442,331,"H3",2.411072254,44.89046478,18.61846542
"g4",443,331,"H3",1.80702579,44.98021698,24.89185143
"g4",444,331,"H3",1.699206114,45.001297,26.48371887
"g4",445,331,"H3",1.997111678,44.43087387,22.24756622
"g4",446,331,"H3",1.693082213,43.54711533,25.72061539
"g4",447,331,"H3",1.945725441,44.87891006,23.06538773
"g4",448,331,"H3",1.914147139,45.1296463,23.57689476
"g4",449,331,"H3",1.543610811,44.27442932,28.68237877
"g4",450,331,"H3",2.172106266,44.92348862,20.68199348
