field_id,fp_id,harvest,PAN,WV_450,WV_454,WV_458,WV_462,WV_466,WV_470,WV_474,WV_478,WV_482,WV_486,WV_490,WV_494,WV_498,WV_502,WV_506,WV_510,WV_514,WV_518,WV_522,WV_526,WV_530,WV_534,WV_538,WV_542,WV_546,WV_550,WV_554,WV_558,WV_562,WV_566,WV_570,WV_574,WV_578,WV_582,WV_586,WV_590,WV_594,WV_598,WV_602,WV_606,WV_610,WV_614,WV_618,WV_622,WV_626,WV_630,WV_634,WV_638,WV_642,WV_646,WV_650,WV_654,WV_658,WV_662,WV_666,WV_670,WV_674,WV_678,WV_682,WV_686,WV_690,WV_694,WV_698,WV_702,WV_706,WV_710,WV_714,WV_718,WV_722,WV_726,WV_730,WV_734,WV_738,WV_742,WV_746,WV_750,WV_754,WV_758,WV_762,WV_766,WV_770,WV_774,WV_778,WV_782,WV_786,WV_790,WV_794,WV_798,WV_802,WV_806,WV_810,WV_814,WV_818,WV_822,WV_826,WV_830,WV_834,WV_838,WV_842,WV_846,WV_850,WV_854,WV_858,WV_862,WV_866,WV_870,WV_874,WV_878,WV_882,WV_886,WV_890,WV_894,WV_898,WV_902,WV_906,WV_910,WV_914,WV_918,WV_922,WV_926,WV_930,WV_934,WV_938,WV_942,WV_946,WV_950,WV_954,WV_958,WV_962,WV_966,WV_970,WV_974,WV_978,WV_982,WV_986,WV_990,WV_994,WV_998
g3,301,H1,30.966,323.8972,311.9033,296.9683,276.6587,303.2867,332.3626,289.0113,277.4351,316.8301,303.6844,295.9466,315.0954,334.1148,345.1215,368.4464,405.9702,445.4569,485.1969,559.0377,610.6,648.1538,676.1355,697.8135,717.9747,737.3535,744.5746,739.2488,739.1148,714.1668,701.0919,679.3429,651.9037,632.3143,609.4378,604.2375,590.6318,584.3754,574.4519,567.8493,557.3387,540.1612,528.4429,518.1382,513.7088,508.1715,501.6482,488.9458,472.408,456.7834,434.2375,419.7893,404.6624,389.5293,377.1416,363.9204,358.1246,357.0704,375.1859,419.0914,493.4404,604.3284,753.9513,932.5439,1132.3949,1347.3617,1575.6551,1821.4339,2095.0636,2395.2065,2698.2141,2989.7693,3258.7276,3481.9209,3664.5492,3803.4118,3926.7215,4040.538,4137.3123,4201.3883,4244.5876,4282.0817,4318.2193,4351.1243,4378.454,4405.2731,4417.7845,4426.5495,4434.1855,4432.8115,4424.2118,4419.1209,4434.3819,4450.3472,4463.113,4472.2575,4497.6641,4526.4877,4550.7133,4555.6321,4559.4223,4560.2227,4578.3921,4593.338,4607.1508,4606.8259,4600.028,4596.3673,4589.4027,4587.7741,4581.8314,4577.4439,4579.4527,4574.1245,4566.9407,4546.3094,4501.5346,4447.4542,4383.6451,4305.2836,4234.1107,4166.617,4106.9914,4045.7769,3985.9976,3906.951,3831.6561,3749.6836,3657.7325,3569.1217,3489.1761,3416.5071,3340.5488,3279.7953,3233.1303,3164.6205,3076.0773,2994.5534,2920.0489
g3,302,H1,26.8965,251.078,224.2076,203.9505,216.2919,214.744,215.1951,212.2239,227.0205,207.3346,217.978,235.6441,232.4238,230.8724,234.5502,247.1236,293.2628,332.6788,357.4554,388.5204,438.2593,453.0697,476.7246,505.9536,512.1788,518.6515,520.6537,534.1599,523.1858,511.123,500.5751,482.2878,460.0953,444.8983,423.4799,424.1791,415.4299,405.01,397.2751,396.098,391.1532,383.8498,375.2751,361.9621,351.308,350.4935,348.143,339.7858,327.9334,314.0816,305.2635,293.5917,286.6698,275.5898,272.4309,265.3528,257.6781,255.7966,262.8108,290.3678,337.0013,416.302,523.4149,655.9096,815.395,981.8771,1165.3375,1373.4875,1605.686,1869.0126,2158.3276,2438.6994,2685.4736,2912.5957,3100.4916,3254.4985,3387.4898,3501.5148,3576.4937,3643.6683,3708.5875,3761.0801,3791.8779,3820.6284,3850.1189,3870.5226,3879.9205,3898.3995,3914.8453,3918.2634,3910.0599,3914.7846,3937.0134,3965.3822,3983.1827,3985.6327,3991.8754,4010.3428,4043.7431,4070.2913,4078.5954,4067.0853,4057.0307,4055.7203,4072.5823,4087.5999,4099.5014,4101.3368,4102.8551,4102.6739,4111.9009,4124.0322,4135.2479,4138.5157,4125.3264,4098.8937,4063.7439,4021.7869,3985.2845,3947.9766,3902.5823,3848.756,3782.4658,3697.1266,3621.307,3545.8374,3459.8736,3389.1747,3295.0989,3203.4671,3131.041,3083.017,3021.8738,3005.6156,2987.4447,2957.0994,2901.922,2834.7518,2725.7232
g3,303,H1,23.3857,293.9397,281.9038,181.9434,191.1249,186.895,196.5515,202.7907,211.5589,210.3051,212.0313,221.1129,222.3034,231.0939,238.3338,255.6842,282.7665,308.9302,349.7829,378.7498,418.9792,458.8785,470.5995,481.7725,502.5446,519.1217,522.4282,518.6721,512.2679,512.0276,483.3701,475.2205,453.9077,443.9378,431.9666,425.7902,418.9423,409.5858,410.8064,400.8892,394.1545,390.2363,376.7574,376.2189,366.996,366.4053,364.8076,356.0184,346.325,337.0485,323.635,311.4051,298.9291,289.1971,282.2643,276.5987,276.3993,276.3032,283.8539,319.3595,375.1875,451.1718,562.1348,700.6321,848.6499,1017.2282,1186.3988,1369.6444,1584.8878,1811.7429,2035.3496,2253.8617,2463.5499,2627.1801,2768.0607,2883.6166,2991.1339,3056.652,3109.4986,3154.428,3188.0877,3224.8018,3267.3547,3296.8813,3310.9066,3325.3551,3352.2974,3382.9738,3403.6291,3412.3972,3417.5919,3429.7042,3443.281,3447.3677,3446.7956,3445.1603,3464.6435,3483.1172,3501.6524,3516.6124,3539.1041,3560.1668,3570.5255,3574.9242,3580.678,3596.8422,3618.5807,3640.507,3640.8407,3633.0037,3622.7616,3615.9034,3613.6229,3612.9492,3612.6658,3602.0595,3588.0779,3567.3012,3542.1353,3528.9683,3506.8607,3475.6967,3438.071,3374.0938,3314.4468,3261.3938,3199.456,3129.5829,3056.8513,2948.6539,2832.6301,2702.3395,2581.1668,2500.0833,2448.629,2392.9864,2338.5074,2305.0079,2279.6134
g3,304,H1,26.6005,370.2828,231.7512,220.1734,228.7403,207.7817,214.1004,201.2104,221.607,226.2272,206.664,216.1894,236.7779,242.9924,258.5608,264.067,293.0376,338.3536,395.6099,419.7057,465.1135,502.1019,529.7504,551.0716,563.7251,592.6611,588.2631,586.4089,589.7859,568.2623,553.5288,536.1941,503.0119,485.1171,471.9024,454.3687,450.5113,450.4701,439.9624,428.4074,414.8786,407.3026,393.3311,380.5777,378.4985,368.7685,361.1482,355.4573,339.7282,326.1323,315.8936,303.8185,289.8028,274.9496,265.1556,254.795,250.0802,251.563,260.7107,288.2336,342.617,424.8798,537.7086,693.9754,863.5553,1043.8149,1254.8205,1487.014,1753.2296,2040.61,2329.5431,2606.0126,2862.5871,3078.4925,3263.5855,3403.4527,3524.0233,3614.3368,3699.219,3762.0185,3812.8034,3853.8756,3887.0372,3906.6658,3923.566,3941.7796,3961.3608,3978.3096,3983.3671,3981.9886,3979.6323,3982.9351,3993.5822,4013.0201,4030.4404,4044.8981,4052.9377,4062.9317,4075.0461,4090.5079,4104.6978,4111.3235,4106.232,4100.0398,4096.7394,4104.3634,4113.5254,4125.2325,4126.6954,4123.5107,4105.3248,4083.7682,4070.3309,4065.5566,4075.1234,4087.2695,4081.1383,4053.438,3999.9656,3930.0265,3857.7351,3787.1836,3721.9597,3653.1576,3601.394,3540.9209,3474.5764,3442.3533,3408.8004,3362.5676,3321.4171,3281.2831,3201.1548,3138.2372,3086.1995,3021.3429,2952.8147,2892.2835,2815.8261
g3,305,H1,26.522,303.2969,271.5779,243.0202,242.0004,235.384,211.4271,239.735,247.4849,247.1537,240.0692,252.6191,269.2829,275.7278,286.4157,310.7767,324.9268,368.1899,414.5032,448.9241,466.0045,511.58,544.9692,572.1796,580.679,587.5169,586.0001,585.8641,589.2741,570.0336,555.9279,537.0685,513.7252,496.3786,490.1109,478.2374,467.9325,465.2028,466.6744,449.7474,447.847,427.2061,420.9356,418.3772,408.708,401.0544,397.0386,393.7645,384.5568,370.6621,353.9096,337.4572,328.8684,317.2647,304.788,297.0141,294.357,300.91,315.4092,347.364,412.583,505.9159,625.9258,782.7248,949.1377,1128.2846,1328.6411,1544.7019,1776.2788,2033.6744,2282.4283,2507.4494,2715.989,2886.4265,3033.8005,3140.2503,3232.3475,3300.069,3356.5326,3410.7329,3454.5899,3482.4886,3507.3304,3526.0986,3543.7507,3564.686,3590.1313,3615.5164,3620.1349,3612.2492,3611.8094,3617.0699,3632.4429,3636.888,3640.1475,3649.851,3674.0237,3699.2088,3710.6745,3711.234,3712.971,3726.3438,3751.6871,3775.793,3790.0751,3787.2337,3781.1009,3771.5065,3766.3571,3759.4353,3752.3096,3743.4083,3731.533,3727.7772,3723.7432,3718.9066,3717.1076,3710.0927,3695.1013,3671.2099,3629.3637,3567.6512,3485.5304,3388.8372,3295.0719,3193.8345,3085.6647,3024.5178,2982.0346,2944.4721,2938.285,2915.4196,2877.1544,2825.8206,2758.3618,2653.7322,2580.444,2494.1567,2393.1499
g3,306,H1,26.6132,391.4623,355.9371,303.1089,291.4399,276.5087,334.3204,304.3158,302.1684,298.7549,287.9451,300.0853,308.479,324.0994,320.6045,352.259,375.8006,416.5004,467.852,501.6827,537.5743,570.0919,622.8656,632.0502,641.9945,662.162,664.9022,668.5785,661.3093,652.2111,626.6917,621.6501,601.9679,578.9405,568.8329,544.3481,547.1065,550.8075,538.0118,523.6548,513.9424,507.5156,495.7764,487.1326,481.5266,476.1207,462.6061,461.4239,441.4662,433.4948,423.701,407.7654,391.6147,375.2465,370.018,362.4281,362.4624,365.8869,379.6931,418.8334,477.8896,576.8826,717.8901,874.1472,1050.2225,1242.6053,1450.4981,1676.6055,1924.3451,2198.3254,2470.4398,2726.185,2960.249,3167.1936,3339.9805,3487.5239,3612.4135,3709.565,3771.9663,3818.0977,3870.7789,3923.2862,3972.3608,4006.3068,4034.5136,4059.2156,4085.8966,4111.5197,4139.6645,4169.5055,4177.8787,4175.7931,4172.4669,4171.0672,4173.6437,4181.5572,4196.4378,4215.3546,4234.5729,4252.3856,4269.9122,4287.4074,4306.3934,4327.6888,4346.6612,4367.6247,4382.8329,4393.675,4393.5316,4396.288,4395.9369,4404.8739,4414.3529,4416.7807,4417.1953,4402.5006,4381.6391,4366.3325,4358.5224,4349.0506,4337.8706,4302.3958,4242.2197,4159.3327,4063.8673,3976.0407,3881.5615,3794.2613,3718.5256,3648.9338,3597.8045,3552.8314,3543.3838,3529.4429,3512.735,3486.0515,3442.2943,3387.8078,3307.8549
g3,307,H1,27.1653,349.1294,243.682,250.9605,201.2857,232.1252,303.1275,225.9084,230.3363,219.0214,220.8842,224.9575,225.8894,238.0201,252.6597,280.0587,310.6231,335.1547,404.7597,445.6141,501.2556,544.0765,548.3125,586.6853,605.6955,628.5657,624.9252,629.2464,629.2171,601.8315,570.6325,553.4389,536.1886,518.1459,497.8167,479.7553,482.1412,479.2799,460.6509,448.883,435.299,426.7483,417.4758,400.665,397.3599,395.4954,382.3748,372.1703,360.9505,343.8851,319.0983,307.0992,300.8354,287.9656,275.7798,270.994,266.9009,269.5647,283.4738,309.4695,375.3839,475.7549,604.8994,773.9978,960.012,1157.8317,1388.8608,1640.9452,1902.3431,2190.7604,2490.2166,2749.3228,2981.1227,3176.3889,3347.4947,3474.5732,3584.2147,3641.4571,3701.5472,3767.7901,3827.5806,3864.2066,3895.2795,3917.8336,3935.5419,3946.1946,3956.3402,3968.6326,3983.0168,3997.3672,4008.2953,4015.7111,4022.4317,4022.6355,4022.7714,4023.7212,4039.6485,4054.0991,4071.1948,4078.2128,4088.0129,4101.1877,4114.6607,4127.6491,4129.9363,4128.3915,4125.3227,4132.306,4138.6578,4147.168,4153.2844,4139.7435,4120.8212,4096.7314,4073.3122,4071.1846,4065.7421,4058.0963,4036.6107,3975.9883,3900.3738,3807.5693,3707.3631,3650.6491,3592.1366,3521.0144,3442.8138,3356.5089,3287.9125,3228.1256,3170.2183,3118.3515,3085.1253,3042.1374,2988.3062,2920.858,2845.1986,2768.202,2707.0525
g3,308,H1,26.4666,400.0628,255.1835,246.3228,276.3413,259.4962,245.9629,255.9312,258.3598,235.3342,231.4237,265.7672,289.8129,292.4004,285.3087,302.3656,328.3699,361.5323,415.0486,437.8411,484.5461,517.9258,534.8999,551.3266,555.2525,575.7953,572.8749,574.8987,575.9345,569.404,553.2067,530.4658,503.5132,491.0818,482.2836,477.334,474.7242,469.5869,467.7985,462.1299,455.2131,441.3264,433.8708,426.9735,425.4111,424.6037,420.1657,409.9606,396.2794,389.5809,381.6413,367.4959,353.0607,344.6345,334.2858,329.4835,328.393,323.8784,331.7831,357.6938,420.357,510.5292,622.8579,776.0447,946.0454,1123.477,1315.9128,1532.8682,1775.9784,2038.3081,2304.9026,2567.4434,2805.5117,3000.2687,3177.0073,3314.6081,3436.6686,3524.7356,3603.2709,3658.0026,3708.1195,3738.358,3762.345,3793.827,3827.9755,3851.6045,3864.5073,3880.805,3894.4217,3899.2199,3904.898,3913.0672,3914.529,3906.8215,3905.2849,3920.6089,3945.5565,3969.1706,3981.2094,3987.1724,3990.8645,4003.4541,4019.6158,4038.0244,4048.7666,4058.3166,4070.3273,4080.8297,4081.7321,4074.4215,4063.7484,4058.2594,4052.6651,4054.9585,4041.2137,4016.8389,3990.7398,3959.8312,3923.1407,3896.1645,3858.9688,3805.4864,3747.7449,3682.6356,3604.9205,3512.0703,3425.8094,3347.0704,3277.6334,3219.3461,3151.8999,3079.4853,2995.8966,2889.7547,2754.4771,2601.853,2459.2535,2369.2145,2292.2655
g3,309,H1,23.314,284.1021,311.54,220.2865,227.4944,199.6279,191.84,218.86,218.2214,226.3155,196.2545,214.5514,217.6643,208.696,214.3529,231.0345,255.7048,285.4547,331.3926,356.5686,381.1643,414.1871,443.2126,459.4449,476.6902,484.2237,488.801,480.6118,483.0451,475.0614,463.4811,442.829,426.7395,408.7444,402.0626,391.8518,383.2717,380.5936,380.5147,373.227,363.0527,358.9362,342.5898,340.8026,339.5485,333.1161,330.7018,321.4133,313.5726,304.8986,295.5242,288.3555,278.3314,263.0705,256.6831,254.5163,253.9645,257.6901,270.063,303.483,351.1786,424.4598,537.5371,667.8796,807.7314,973.0304,1146.0441,1343.5311,1571.4059,1811.7848,2054.314,2298.2255,2520.7278,2715.652,2883.3502,3017.9989,3138.0133,3234.3267,3322.16,3393.6942,3443.0968,3487.3588,3527.9085,3566.6962,3602.9452,3630.5775,3643.9701,3655.7932,3676.1626,3693.3423,3708.1169,3719.1808,3727.9976,3733.9034,3745.3202,3765.4521,3784.017,3797.1413,3805.1438,3819.327,3838.2554,3856.1768,3865.9226,3868.6667,3873.4348,3890.8566,3913.757,3935.0091,3933.5838,3932.5856,3935.7438,3941.023,3953.1723,3954.4135,3957.5966,3955.2357,3941.5897,3920.6154,3890.311,3849.8522,3816.8514,3787.5309,3749.5297,3697.4129,3626.7311,3537.8685,3440.8887,3350.2142,3295.6975,3236.1012,3195.9771,3141.635,3068.2218,2975.1474,2882.8358,2773.5934,2671.1864,2595.289,2528.7393
g3,310,H1,26.4072,297.3944,259.7979,281.4148,280.8494,261.3961,9918.2304,250.1322,245.2062,257.49,257.6279,269.61,288.8389,285.2305,319.1469,340.1929,347.648,406.4969,455.3413,514.3732,553.8929,599.555,618.0287,647.5643,662.7557,667.405,704.6579,687.309,699.4946,679.1764,664.3449,629.1439,601.4734,590.0653,574.2694,566.4653,562.8457,553.7746,539.8568,522.9373,516.1939,498.7336,494.724,486.3146,478.9263,474.8319,465.1738,457.2287,442.992,425.4444,410.1598,392.6403,375.0816,362.3326,354.486,344.5096,344.0352,347.0323,359.3137,392.3582,456.0691,556.3302,693.3704,854.0801,1032.3846,1227.2477,1440.3002,1662.7512,1893.146,2148.9765,2403.2044,2616.8918,2804.4115,2982.5418,3133.47,3244.2156,3332.3175,3401.7594,3462.4959,3509.288,3548.1349,3590.3167,3624.6867,3643.8686,3649.7407,3660.1131,3681.703,3703.4015,3715.2253,3722.0469,3725.7567,3731.2342,3741.2009,3755.8541,3767.7901,3775.5313,3785.978,3802.6941,3823.05,3834.2449,3841.0792,3846.8082,3855.727,3865.4048,3871.6587,3876.52,3878.1557,3881.3153,3885.1202,3892.1272,3910.7844,3928.5351,3951.4572,3967.1468,3958.0072,3939.7984,3904.4579,3875.3495,3856.8852,3834.4403,3809.8731,3768.6315,3703.0168,3644.1878,3585.181,3502.0881,3398.388,3296.5094,3170.5911,3077.2121,3014.2035,2983.1807,2930.4501,2869.5412,2813.7699,2749.2702,2672.0988,2606.7491,2543.6372
