"field_id","fp_id","harvest","PAN","WV_450","WV_454","WV_458","WV_462","WV_466","WV_470","WV_474","WV_478","WV_482","WV_486","WV_490","WV_494","WV_498","WV_502","WV_506","WV_510","WV_514","WV_518","WV_522","WV_526","WV_530","WV_534","WV_538","WV_542","WV_546","WV_550","WV_554","WV_558","WV_562","WV_566","WV_570","WV_574","WV_578","WV_582","WV_586","WV_590","WV_594","WV_598","WV_602","WV_606","WV_610","WV_614","WV_618","WV_622","WV_626","WV_630","WV_634","WV_638","WV_642","WV_646","WV_650","WV_654","WV_658","WV_662","WV_666","WV_670","WV_674","WV_678","WV_682","WV_686","WV_690","WV_694","WV_698","WV_702","WV_706","WV_710","WV_714","WV_718","WV_722","WV_726","WV_730","WV_734","WV_738","WV_742","WV_746","WV_750","WV_754","WV_758","WV_762","WV_766","WV_770","WV_774","WV_778","WV_782","WV_786","WV_790","WV_794","WV_798","WV_802","WV_806","WV_810","WV_814","WV_818","WV_822","WV_826","WV_830","WV_834","WV_838","WV_842","WV_846","WV_850","WV_854","WV_858","WV_862","WV_866","WV_870","WV_874","WV_878","WV_882","WV_886","WV_890","WV_894","WV_898","WV_902","WV_906","WV_910","WV_914","WV_918","WV_922","WV_926","WV_930","WV_934","WV_938","WV_942","WV_946","WV_950","WV_954","WV_958","WV_962","WV_966","WV_970","WV_974","WV_978","WV_982","WV_986","WV_990","WV_994","WV_998"
"g4",401,"H1",35.2885101704233,326.653106102254,233.656074766355,205.221660252886,258.939637163277,259.130621220451,232.198130841121,231.018141836174,257.176800439802,265.552171522815,238.2291368884,239.692138537658,260.425508521165,263.592303463441,274.374381528312,294.06454095657,306.826168224299,356.946014293568,443.61264431006,477.875316107752,517.291368884002,554.211544804838,581.626278174821,623.191973611875,630.995492028587,647.737328202309,632.550632215503,635.765255634964,611.652776250687,609.851676745464,573.870698185816,538.778339747114,520.723914238593,494.626827927433,474.259263331501,461.313468938977,451.14029686641,430.893567894447,438.279384277075,423.71797691039,419.175590984057,395.222869708631,382.181858163826,365.700934579439,361.018251786696,343.896976360638,327.724903793293,321.513249037933,309.53930731171,301.36162726773,291.833754810335,276.751621770203,261.03738317757,253.149752611325,245.960747663551,240.360527762507,238.83155579989,242.867509620671,264.256734469489,307.061132490379,376.367894447499,487.1437053326,625.931390874107,793.474876305662,989.500824628917,1209.9155579989,1466.31819681143,1775.94095656954,2146.74249587686,2569.54601429357,3002.91610775151,3428.86695986806,3848.74238592633,4249.73304013194,4586.49455744915,4857.67619571193,5102.53743815283,5324.16734469489,5510.69004947773,5651.22111050028,5770.89675645959,5856.20428807037,5912.65904343046,5952.44189114898,5999.04035184167,6030.59120395822,6055.35404068169,6082.61649257834,6099.27421660253,6097.29378779549,6105.67806487081,6127.96173721825,6150.69554700385,6152.03298515668,6152.84013194063,6161.39230346344,6176.05783397471,6200.75733919736,6224.68916987356,6238.85079714129,6233.53699835074,6207.05068719076,6173.84387025838,6148.73688840022,6145.0933479934,6160.33238042881,6178.03716327653,6188.37328202309,6171.0804837823,6148.66838922485,6121.46003298516,6103.24277075316,6086.60835623969,6062.11028037383,6020.63870258384,5964.80868609126,5910.49191863661,5856.68730071468,5804.75590984057,5750.05574491479,5664.86168224299,5533.99395272128,5392.91368884002,5230.64518966465,5054.20549752611,4898.15096206707,4753.46036283672,4621.47300714678,4529.091368884,4429.48312259483,4313.91962616822,4218.43595382078,4153.23100604728,4063.12600329852,3986.79274326553,3913.52325453546,3812.572842221,3714.64409015943,3637.10874106652
"g4",402,"H1",38.4083,255.7792,279.6167,251.5466,268.7454,283.2531,271.0847,265.0113,255.7464,270.0079,288.7573,300.942,291.0002,280.2244,294.1534,339.917,371.2567,410.0554,455.4424,518.5687,562.786,621.5184,640.7846,659.5968,689.884,689.8065,707.3223,713.181,708.3677,675.7169,652.0021,633.2499,608.2851,580.7093,565.7277,548.148,543.9644,519.5835,501.2449,489.8882,481.3735,456.535,447.1067,437.6736,427.6375,420.038,408.8104,402.6367,388.2875,366.3442,349.3285,336.1478,324.8756,301.3545,288.6873,284.7514,285.711,290.9862,313.3091,351.9581,413.2707,512.5638,656.3099,834.2854,1038.5541,1266.7785,1527.4186,1835.3713,2180.5981,2556.9832,2964.3658,3379.6827,3788.9284,4170.6053,4483.3774,4748.3112,4985.0072,5209.8132,5374.4839,5512.5588,5638.0644,5742.7099,5803.7508,5851.1966,5890.9856,5917.959,5950.0692,5975.7083,5990.2525,5996.727,6008.4788,6009.2034,6002.6159,5998.1622,6013.8756,6035.2399,6056.2516,6069.4144,6086.7274,6097.8504,6099.8461,6099.5262,6102.8638,6106.2657,6099.9315,6090.3259,6090.1566,6105.7348,6131.2312,6140.5715,6128.278,6089.6718,6044.1025,5999.2708,5953.7933,5907.1781,5851.7127,5805.6252,5750.8135,5688.4589,5609.4857,5477.9603,5332.2426,5179.1043,5018.5087,4904.9518,4822.3654,4757.3552,4692.9286,4613.1078,4495.0294,4397.0305,4326.8288,4262.3701,4209.1093,4213.5334,4188.5813,4074.6981,3943.9395
"g4",403,"H1",33.4292313614783,364.883356858719,327.969716412165,253.609778005903,247.398562812781,269.331194661876,302.804953163095,229.916335172591,266.487488771975,258.635313743103,248.356088797639,259.190940587707,258.07609393045,270.208392146798,283.977415629411,305.124342358527,335.626972924419,376.045040420891,427.691004747851,469.305145643526,510.812780700629,542.620813550622,579.497369434108,585.015398434492,609.509046580264,627.702681894007,632.905684588733,619.970614654177,615.09816501989,600.657641473117,567.509816501989,543.003336327473,523.386629026049,502.739381496215,487.844219171051,472.515205954061,464.219427691518,453.825099448223,455.285640959836,443.736943410753,426.233799563711,408.117798023868,392.95290645451,385.479404593866,375.172205825741,368.624663159245,358.189529064545,347.975875785962,331.789939689465,318.837418195817,311.082381624535,296.683562171179,291.852175028872,281.253560887976,268.601565507507,263.884768381881,264.525856537919,268.639291672013,283.436802258437,321.175413832927,389.150391376877,492.615295778263,632.171820864879,803.445271397408,989.781470550494,1199.23931733607,1443.88617990504,1731.44308995252,2080.60246374952,2471.58244578468,2872.31823431284,3275.99255742333,3672.85127678686,4020.79212113435,4316.54420633902,4532.67150006416,4730.56319774156,4926.41639933273,5125.70524829976,5273.65802643398,5387.404465546,5451.84178108559,5492.29051713076,5521.52290517131,5548.49852431669,5569.72372642115,5583.63172077505,5595.0694212755,5614.34364172976,5634.84960862312,5646.2512511228,5648.71410239959,5661.33902219941,5681.38072629283,5705.24380854613,5726.03618632106,5743.49018349801,5762.90979083793,5770.81842679328,5765.58360066727,5756.70704478378,5756.08610291287,5761.96445528038,5761.53240087258,5761.0796868985,5754.80893109201,5754.96484024124,5750.03002694726,5741.9816501989,5734.30257923778,5723.9989734377,5719.95932246888,5704.71589888361,5695.6772744771,5667.89413576286,5635.37354035673,5594.72962915437,5539.32670345182,5471.18413961247,5387.41344796612,5282.3360708328,5149.96009239061,5024.16168356217,4889.41652765302,4757.93712305916,4631.19504683691,4490.89914025407,4348.39099191582,4223.56550750674,4128.68779674066,4021.53779032465,3936.64917233415,3851.46208135506,3753.3799563711,3632.52239189016,3503.74040805851,3384.96009239061,3303.24894135763,3248.93840626203
"g4",404,"H1",45.8899,398.0233,397.9128,377.8267,363.3062,359.5772,377.955,364.1906,368.5215,376.0349,392.1564,370.6649,384.2176,402.3983,443.2205,470.7677,507.9177,571.4385,652.4643,727.9929,801.807,858.8757,900.8553,925.4024,965.7648,998.8614,1009.7937,1001.2772,992.3814,963.6306,903.7055,884.897,837.1534,804.0059,779.9601,748.9522,739.954,715.3928,701.6714,677.1005,664.1352,634.6659,611.8329,605.0858,597.1393,585.0502,570.1693,554.0774,520.7805,498.3524,470.8107,453.4758,435.6295,419.7048,405.0619,387.3957,389.9796,399.7989,428.6422,486.6907,609.2972,776.0633,982.3665,1261.47,1562.4303,1883.3618,2243.2255,2648.9939,3112.5273,3612.8662,4121.6991,4651.2971,5161.7455,5589.357,5952.1908,6236.2242,6507.8091,6723.1066,6916.7002,7063.1756,7188.8585,7262.7722,7311.6428,7354.6837,7403.9608,7429.3135,7433.5008,7440.8283,7474.0801,7513.0611,7524.7904,7528.1766,7528.8683,7543.1851,7544.553,7555.8768,7561.3145,7572.1902,7588.5191,7604.1306,7617.041,7617.0359,7613.5653,7614.1162,7622.534,7637.3114,7635.9663,7628.0603,7601.9303,7588.3579,7581.0563,7564.5011,7543.9563,7506.4963,7452.8237,7397.5492,7330.0261,7249.902,7159.8104,7045.3792,6913.7522,6764.0513,6610.6659,6481.2261,6338.5333,6165.9938,6004.1102,5879.7524,5763.0287,5662.1713,5555.9375,5440.814,5345.9254,5257.7518,5166.3686,5053.3586,4900.0744,4714.2697,4514.4604
"g4",405,"H1",37.5097,314.1596,423.4334,353.7734,308.876,340.0166,347.3345,334.8101,324.2706,335.9288,348.3679,351.2955,333.5623,359.0412,396.088,401.1135,431.1292,476.5347,534.1035,576.2827,637.8048,679.725,710.9727,752.0334,787.498,804.7091,807.2369,812.1547,801.5526,775.6233,752.6344,721.9668,687.427,669.7276,648.4909,625.2107,598.3796,589.1615,571.704,550.2373,542.0946,526.931,510.1218,498.1629,485.4452,477.2419,464.1227,451.4497,431.7008,410.3597,398.7598,379.8231,369.2413,351.8703,341.4357,334.1285,329.4783,332.9254,349.4866,391.4313,456.6123,568.1976,716.3873,907.5007,1133.8393,1370.0688,1632.4442,1943.9162,2288.2127,2690.5607,3123.9351,3555.5715,3959.3626,4336.6633,4670.4633,4971.8398,5206.6757,5413.0583,5585.234,5736.8275,5848.1777,5930.4786,5986.2839,6035.7369,6082.693,6118.3275,6149.9612,6169.1449,6185.5155,6200.8138,6210.163,6221.8876,6232.1775,6242.4384,6251.308,6268.3562,6292.9282,6327.6231,6357.122,6384.9103,6404.1381,6411.4803,6409.3057,6394.9936,6388.7961,6387.1108,6395.4697,6400.1666,6398.0471,6383.8534,6355.0266,6318.6227,6288.6011,6271.3244,6264.4153,6253.6091,6214.139,6149.3684,6080.1964,5997.0771,5922.8639,5836.7311,5740.6256,5644.3776,5510.8685,5392.0708,5284.2504,5163.5647,5041.6722,4958.9907,4888.2592,4822.0998,4756.6543,4705.3368,4646.5322,4561.3061,4491.5605,4425.3903,4320.7835
"g4",406,"H1",36.4769,313.9932,315.3424,297.7198,266.1085,286.878,283.2259,280.0868,266.7966,280.2291,290.1965,273.7602,279.8678,313.2223,317.9631,354.1701,360.726,412.2141,462.2443,521.7876,590.5838,626.6613,642.3235,670.7495,676.6414,701.4026,715.5044,719.5294,698.5725,665.4776,645.5814,612.7215,578.6,562.9188,542.7651,529.312,518.7515,493.4461,488.8721,465.9224,460.1228,442.828,425.2917,423.2733,413.3614,396.2527,384.699,380.6972,363.0175,344.7784,326.5242,315.4702,306.5221,295.3137,283.1337,272.2,276.1834,280.8101,302.8781,347.8275,433.0732,554.402,708.634,915.2305,1137.2865,1375.2826,1655.3355,1989.3603,2389.8454,2817.2057,3258.3016,3699.8314,4116.9443,4480.9781,4805.8955,5054.9921,5301.0722,5497.7984,5674.002,5790.2548,5893.9316,5951.3971,5985.944,6021.1927,6061.6188,6089.5768,6103.9461,6108.4769,6116.6414,6128.2843,6146.1939,6166.7783,6186.1164,6186.9084,6181.8498,6180.1029,6185.3377,6188.9462,6204.1121,6227.5243,6252.3399,6256.3819,6251.4739,6250.2501,6248.4456,6251.7194,6252.3197,6246.3737,6226.2521,6197.2279,6163.8322,6138.3252,6108.693,6068.7234,6009.4109,5963.5508,5910.9385,5863.7782,5812.8056,5732.3662,5631.1754,5495.8414,5361.723,5239.933,5095.0208,4951.1333,4791.4488,4645.9093,4569.5297,4474.8533,4370.8252,4261.3756,4162.8096,4046.7432,3928.5489,3801.2838,3683.4621,3554.7291,3441.6022
"g4",407,"H1",40.3391,354.4463,365.3928,338.3212,299.324,297.2148,678.0643,303.3574,303.8106,305.1224,318.3358,307.214,312.3353,326.0977,369.446,373.2877,420.06,469.1741,535.4608,609.6686,653.4055,720.47,749.7284,781.888,803.2441,811.5705,834.5652,831.2348,811.7201,797.7774,754.9011,717.2488,693.3919,669.7018,641.7254,620.2894,612.982,596.3773,590.7057,569.4064,550.0333,535.9717,509.3873,507.6968,494.9419,487.103,465.8567,452.7285,435.5669,412.7155,393.7983,383.3613,369.468,352.5802,338.8361,328.8395,329.2489,338.2765,361.0097,409.4361,503.712,646.3202,833.667,1061.3151,1320.7442,1599.5407,1909.7157,2269.7353,2694.0514,3156.981,3613.7537,4055.4165,4467.6976,4838.0299,5156.5587,5420.9986,5642.5507,5820.7753,5977.1237,6106.8505,6211.8419,6293.4084,6346.3186,6382.6988,6408.4911,6438.5241,6464.2589,6486.5689,6502.7208,6513.8558,6526.2941,6540.3639,6555.1323,6568.7407,6580.3587,6583.1304,6586.0735,6595.9687,6624.6369,6648.5702,6663.05,6667.4438,6668.9382,6681.1209,6692.3804,6702.1344,6702.6957,6701.1195,6697.8758,6696.5619,6687.8023,6674.5393,6657.6885,6625.0874,6588.3982,6538.5331,6476.3696,6407.5935,6341.27,6278.8847,6209.8901,6131.575,6032.91,5900.9337,5753.2565,5578.4611,5421.7905,5270.872,5156.0889,5067.6565,5001.3038,4951.103,4878.8188,4795.9686,4706.6989,4602.6098,4473.8037,4349.3047,4213.7606
"g4",408,"H1",37.8254,367.3943,310.5511,295.5215,285.3598,291.984,283.8592,289.7843,285.6564,300.5912,275.0593,292.8919,287.724,301.3956,319.4426,335.5608,361.3239,393.9013,468.1359,520.4026,553.1481,609.9536,620.6861,649.6509,667.3926,669.564,684.5421,684.0199,672.2288,652.9157,612.8359,590.6328,562.0686,552.8942,531.219,515.0126,509.9963,498.6029,480.313,468.31,447.7304,437.5522,424.2653,414.6982,403.8163,402.0635,392.5747,375.1844,357.5525,344.6262,334.2106,320.216,308.2814,296.7166,287.2795,279.0655,275.2935,286.7108,308.5668,349.5545,419.9783,527.3375,669.6657,856.0611,1070.3762,1301.1112,1567.1238,1889.5324,2270.5312,2704.7089,3149.3371,3596.1866,4019.1134,4408.1987,4749.9415,5041.3082,5302.2414,5532.4242,5725.1164,5862.6025,5976.7135,6067.7396,6143.9825,6194.8338,6228.8317,6259.6763,6289.9272,6318.8904,6340.8131,6361.9259,6394.7917,6434.4248,6456.9904,6470.3449,6477.4095,6485.5247,6492.3225,6503.7873,6521.9565,6543.2399,6564.9038,6579.2197,6587.6054,6596.2646,6612.4647,6634.0926,6656.489,6657.3884,6646.9948,6625.6555,6600.8098,6577.8016,6549.4176,6516.5905,6482.812,6438.6263,6403.5849,6348.8603,6269.6569,6168.3294,6025.9038,5885.8917,5781.9613,5672.4668,5585.1726,5489.0869,5381.2389,5277.4993,5173.6041,5040.3101,4912.8577,4764.97,4608.8001,4452.7306,4302.1335,4181.3353,4083.4631,3982.5342,3868.7191
"g4",409,"H1",37.2113,354.1463,371.9778,315.9244,280.3874,302.3362,284.2229,292.897,289.6835,287.8353,310.8273,293.4288,295.2601,311.3098,328.8226,359.1601,378.1654,417.4144,469.8852,537.6823,610.1995,644.8926,675.2314,695.2674,726.9934,733.543,748.3204,744.3434,728.4747,697.4983,654.0134,626.9875,608.2269,594.1116,567.5254,552.045,537.6858,531.7645,515.8995,497.9387,475.8214,464.5282,444.1065,436.9404,432.0291,421.257,407.2966,394.3341,375.2736,352.9426,339.9571,321.4171,310.3512,297.2246,290.9185,282.4102,283.3642,291.95,319.3502,379.1946,471.7924,605.3705,781.3106,992.1064,1230.7319,1491.6202,1771.783,2108.5715,2528.9001,2987.405,3456.3495,3896.7229,4308.6393,4680.2444,5005.982,5259.6082,5492.5681,5681.0259,5842.3474,5973.027,6063.969,6110.3458,6155.2332,6191.8293,6228.1564,6266.3593,6286.9589,6289.007,6282.482,6286.7859,6296.8598,6308.8794,6313.181,6337.5768,6370.7559,6400.5528,6399.1043,6392.3513,6390.6155,6415.7506,6432.9529,6439.7174,6419.8719,6410.2272,6419.5113,6445.3017,6462.3188,6463.0663,6444.9172,6420.7311,6400.8473,6389.4348,6378.4312,6362.1897,6325.4277,6242.6804,6138.8735,6020.6786,5885.8264,5778.7085,5660.8674,5528.1956,5385.7886,5245.9661,5103.8565,4968.6688,4837.8542,4706.3796,4600.4277,4503.5559,4403.1419,4304.074,4240.085,4162.5069,4070.0873,3943.2549,3797.3963,3624.3293,3482.9299
"g4",410,"H1",44.9813,351.064,358.9081,316.0648,327.0049,332.0486,314.682,304.6983,312.719,322.712,341.2922,318.1878,345.9707,354.3942,376.7245,417.9828,443.2291,508.4822,576.3266,649.5114,713.8644,744.5693,788.8971,817.432,865.5727,879.2374,893.7546,892.976,881.3319,856.2402,813.8683,777.7712,750.5156,703.0205,682.3759,658.3501,650.11,637.3089,626.7733,613.9555,590.4289,566.7974,546.5819,530.8456,521.1492,508.003,496.9456,479.3538,457.2041,435.3194,408.85,393.5393,378.9722,363.0181,347.4147,335.9398,336.697,340.5215,362.2239,416.7797,522.8116,674.0386,873.467,1126.789,1391.2573,1679.203,2028.8099,2409.3311,2848.3082,3334.1267,3829.3955,4313.4058,4779.0803,5206.2557,5590.2664,5861.9042,6116.8397,6333.2087,6539.437,6674.2082,6793.6999,6872.8584,6931.6535,6965.1539,6996.7701,7036.45,7081.0406,7123.2226,7147.6603,7167.0922,7182.1181,7206.6734,7235.4982,7264.7864,7290.9251,7304.3898,7302.9543,7300.8277,7308.077,7329.542,7352.9815,7367.1891,7375.307,7383.4158,7394.2975,7392.5965,7384.2634,7371.8951,7359.9455,7353.2117,7347.9406,7337.2802,7324.271,7305.9301,7268.5555,7222.5811,7166.6991,7097.3484,7012.2113,6916.8208,6794.1997,6641.3911,6468.3813,6292.7042,6119.3283,5928.229,5718.2168,5548.7734,5434.8926,5321.3991,5195.9532,5064.3743,4941.3433,4844.546,4743.3715,4642.8573,4547.9586,4424.5151,4291.1499
