"field_id","fp_id","harvest","PAN","lab_no","doy","fb","fb_sample","db_sample","db_p","db","logdb","n","c","cn_ratio","adf","source",".partitions","pls_n_pred","pls_adf_pred","rf_n_pred","rf_adf_pred","gp_n_pred","gp_adf_pred","svm_n_pred","svm_adf_pred"
"g1","104","H1",27.7936,331,"194",0.41,0.084,0.029,34.02,0.139,-1.97328134585145,1.234998345,45.2730751,36.65840912,31.3315,"Witzenhausen","2",1.41257771873918,29.8890451625767,1.4089444817479,31.9176341717793,1.40783013739201,32.1890879975157,1.33375911693605,31.4930642962608
"g1","113","H1",23.7405,331,"194",0.52,0.19,0.078,41.18,0.214,-1.54177926396029,1.251929283,44.4343338,35.49268723,36.908,"Witzenhausen","2",1.20818618526218,34.4644814353048,1.34220698472453,32.968917252275,1.40905564576472,32.7598491116237,1.40775341711498,34.2040347350816
"g1","114","H1",23.0935,331,"194",0.437,0.131,0.047,35.96,0.157,-1.85150947363383,1.380014062,45.0025177,32.61018753,37.394,"Witzenhausen","2",1.25150497182538,34.6026810424607,1.34676178456607,33.5893871715847,1.43677492624284,32.8656375107462,1.56320747638499,34.161873808845
"g1","119","H1",22.9857,331,"194",0.708,0.154,0.049,31.55,0.223,-1.50058350752202,1.619182467,45.16464233,27.89348602,37.5385,"Witzenhausen","2",1.34586790333475,33.8683760054869,1.463032481704,32.9134665029554,1.44990871774778,32.5509683833677,1.4519781312757,34.6957280948947
"g2","211","H1",23.9187,331,"195",0.031,0.009,0.005,55.89,0.017,-4.07454193492592,1.231228948,45.16823959,36.68549347,34.6395,"Witzenhausen","2",1.46196669855142,34.6283732477649,1.5915172271417,32.5888124769073,1.58266584996952,31.8662210139817,1.57591062308662,31.3712505615742
"g2","214","H1",24.4029,331,"195",0.046,0.024,0.011,46.79,0.022,-3.81671282562382,1.295568943,46.2305603,35.68359756,37.722,"Witzenhausen","2",1.29756034448052,33.5132606112756,1.18433074787973,34.6530657150754,1.18177957643592,35.4699235674895,1.10140731214751,36.3434533650382
"g2","216","H1",27.3598,331,"195",0.055,0.021,0.01,49.76,0.027,-3.61191841297781,1.15691328,45.89774323,39.67258835,32.517,"Witzenhausen","2",1.44551955294248,32.00985127662,1.30438002461793,33.3241138152763,1.28538046744159,33.5266061317948,1.16082148129147,34.1223056917883
"g2","218","H1",27.0097,331,"195",0.104,0.056,0.029,51.14,0.053,-2.93746336543002,1.2836833,45.3507576,35.3286171,31.05,"Witzenhausen","2",1.38453161650751,31.1528076465963,1.313515238491,33.260888376607,1.34419056252083,33.5427424853371,1.35621463101713,33.1669164449706
"g3","307","H1",27.1653,331,"148",0.836,0.327,0.096,29.46,0.246,-1.40242374304977,1.623634338,43.70035172,26.91514397,29.538,"Witzenhausen","2",1.47179368481242,29.0102086465058,1.5223502925027,31.5597315468107,1.51194665762972,32.2520424104822,1.60074932112916,32.7827239723407
"g3","314","H1",24.1023,331,"148",0.809,0.383,0.125,32.7,0.265,-1.32802545299591,1.461565256,44.95170593,30.755867,31.63,"Witzenhausen","2",1.44008911764874,31.8872162236149,1.46098208983267,31.2860864766693,1.44326616862482,31.6484620025556,1.39599147025443,32.1573073463531
"g3","316","H1",24.5517,331,"148",0.561,0.277,0.093,33.75,0.189,-1.66600826392249,1.484174013,44.84409332,30.21484947,30.712,"Witzenhausen","2",1.45427985337532,30.7032202383847,1.45599417270957,31.453758282388,1.44162896736144,31.5893171478236,1.30041858761839,32.3913221993157
"g3","324","H2",62.4982,331,"267",0.127,0.103,0.041,39.8,0.051,-2.97592964625781,1.875601172,45.84749603,24.44416046,27.5895,"Witzenhausen","2",1.47568963745229,32.5805534964457,1.41036375206804,32.4173353598163,1.47719502603618,33.1098136575118,1.65902396611505,32.6595085594385
"g3","325","H2",61.3812,331,"267",0.154,0.125,0.05,40.2,0.062,-2.78062089393705,1.939027905,45.77114105,23.60519981,29.714,"Witzenhausen","2",1.5310876382131,29.4959596936605,1.43047727086743,32.242048658582,1.5109050317545,32.4934571985594,1.61504700985371,32.9205622250799
"g3","329","H2",56.5271,331,"267",0.13,0.129,0.052,40.3,0.052,-2.95651156040071,1.52667141,45.64861679,29.9007473,35.108,"Witzenhausen","2",1.52396844071329,33.6661876244485,1.30923248049633,33.1378185068043,1.39882527370142,33.690670791169,1.597788412678,32.598763456012
"g3","339","H2",43.9129,331,"267",0.058,0.128,0.05,38.7,0.022,-3.81671282562382,1.823959947,45.21144104,24.78751945,28.844,"Witzenhausen","2",1.75658883923122,31.5365300386957,1.72756322045517,31.0332827572277,1.7236911893996,30.8990176202251,1.74520380060937,31.1812962518878
"BG","A02","H1",57.4195469033333,340,"166",0.121,36,15.72,43.70406667,0.0529,-2.93935194011788,1.3489,44.2555,32.8085847727778,33.4036,"Rhön","2",1.58696310559419,31.3828531494794,1.32126322638403,32.870611456125,1.36138441483468,32.4204225795278,1.33171325811899,33.2681729553677
"BG","A06","H2",69.6562536566667,340,"178",0.111,56.2,23.95666667,43.35863333,0.0469,-3.0597376035299,1.326,43.567,32.8559577677225,33.4883,"Rhön","2",1.227285413515,33.4360175944647,1.30707819133757,32.5173025708717,1.30570007948848,32.3039135438085,1.18094669509848,32.8590204950385
"BG","A12","H3",31.29771478,340,"192",0.216533333,133.9333333,52.95666667,39.8065,0.085633333,-2.45768066742697,1.0181,43.7554,42.9775071211079,33.5004,"Rhön","2",1.17451993759351,33.119201928339,1.48950548629167,32.1787685087077,1.29119131068139,32.8218991613971,1.12898532783568,33.8476202218298
"BGL","B01","H1",73.87900644,340,"166",0.933333333,158.3333333,41.97666667,27.62140939,0.251033333,-1.38216954787079,1.619125751,43.36921328,26.7855744084204,30.97753683,"Rhön","2",1.848359936796,31.9786801440492,1.93845397900274,29.728628926743,1.82789530850088,30.093815144109,1.74293173681278,30.0783009278495
"BGL","B06","H2",68.18733392,340,"178",1.0326,274.2,69.32,26.78931388,0.277933333,-1.28037400340288,1.748523341,42.93022434,24.5522741008694,29.97396754,"Rhön","2",1.53132638610824,31.4345056707651,1.5215252492378,30.7351808713626,1.55481063320296,30.5864143076505,1.57423727686133,30.0841976391261
"BGL","B09","H2",63.5274729133333,340,"178",1.347333333,368.4,95.36,28.92895204,0.3902,-0.941095850793126,1.65859824,43.06298989,25.963484616986,31.97867779,"Rhön","2",1.480101037847,32.3498335524365,1.43017140901467,31.86289918775,1.39652800031793,32.2018947926287,1.38290863424435,32.4676730690716
