"field_id","fp_id","harvest","PAN","lab_no","doy","fb","fb_sample","db_sample","db_p","db","logdb","n","c","cn_ratio","adf","source",".partitions","pls_n_pred","pls_adf_pred","rf_n_pred","rf_adf_pred","gp_n_pred","gp_adf_pred","svm_n_pred","svm_adf_pred"
"g1","104","H1",27.7936,331,"194",0.41,0.084,0.029,34.02,0.139,-1.97328134585145,1.234998345,45.2730751,36.65840912,31.3315,"Witzenhausen","2",1.69986249464229,29.1348063037039,1.4791787762888,31.91827365,1.62528576276223,31.3249268857545,1.47550179908485,30.5050156673689
"g1","113","H1",23.7405,331,"194",0.52,0.19,0.078,41.18,0.214,-1.54177926396029,1.251929283,44.4343338,35.49268723,36.908,"Witzenhausen","2",1.95125230239978,32.0971711697535,1.42109320510123,33.2415316666667,1.4489383533884,32.7409418946138,1.5292853825132,33.599858435003
"g1","114","H1",23.0935,331,"194",0.437,0.131,0.047,35.96,0.157,-1.85150947363383,1.380014062,45.0025177,32.61018753,37.394,"Witzenhausen","2",1.41835382347129,33.357582539383,1.41906610189607,33.8933954833334,1.58958284084047,32.6223905495034,1.60201646646851,33.5514494260105
"g1","119","H1",22.9857,331,"194",0.708,0.154,0.049,31.55,0.223,-1.50058350752202,1.619182467,45.16464233,27.89348602,37.5385,"Witzenhausen","2",1.71822459905367,32.5389428536211,1.5079761216231,33.0310003666667,1.65514450277624,32.0615127309494,1.54766526057296,34.4292223784733
"g2","211","H1",23.9187,331,"195",0.031,0.009,0.005,55.89,0.017,-4.07454193492592,1.231228948,45.16823959,36.68549347,34.6395,"Witzenhausen","2",1.29550426249238,33.8930638769208,1.55570219472607,32.5313552833334,1.63817753760066,31.9485603686093,1.59610150001875,31.8789271673341
"g2","214","H1",24.4029,331,"195",0.046,0.024,0.011,46.79,0.022,-3.81671282562382,1.295568943,46.2305603,35.68359756,37.722,"Witzenhausen","2",1.18775261409806,34.7586911932989,1.3312589427075,33.8784252666667,1.22264561492628,35.121596158011,1.04472227340517,36.2888570135335
"g2","216","H1",27.3598,331,"195",0.055,0.021,0.01,49.76,0.027,-3.61191841297781,1.15691328,45.89774323,39.67258835,32.517,"Witzenhausen","2",0.842712142316317,34.188004069579,1.3536994918995,33.19798075,1.31017183753706,33.1831017951687,0.987075707789964,34.3763473206884
"g2","218","H1",27.0097,331,"195",0.104,0.056,0.029,51.14,0.053,-2.93746336543002,1.2836833,45.3507576,35.3286171,31.05,"Witzenhausen","2",0.891679309662167,33.4537777809787,1.3970740771802,32.9980839166667,1.31611727853122,33.2922697639018,1.15108198376487,33.5014454421588
"g3","307","H1",27.1653,331,"148",0.836,0.327,0.096,29.46,0.246,-1.40242374304977,1.623634338,43.70035172,26.91514397,29.538,"Witzenhausen","2",1.99222995674115,28.562099558135,2.45199259415967,28.3106738166667,2.32332569548559,28.4860281537193,2.19642886426041,28.796940861998
"g3","314","H1",24.1023,331,"148",0.809,0.383,0.125,32.7,0.265,-1.32802545299591,1.461565256,44.95170593,30.755867,31.63,"Witzenhausen","2",2.04155393163327,30.1279056797282,1.552887361971,31.0374588666667,1.43381011586005,31.62048899312,1.19926080200287,33.6108000554738
