Quality,Model,Training,,,,,Testing,,,,
,,n,R.Sq,RMSE,MAE,rRMSEP (%),n,R.Sq,RMSE,MAE,rRMSEP (%)
N (%DM),PLSR,155,0.52,0.47,0.36,26.3,39,0.55,0.43,0.35,24.1
,RFR,155,0.73,0.35,0.24,19.4,39,0.80,0.32,0.23,17.6
,GPR,155,0.72,0.37,0.27,20.6,39,0.75,0.34,0.27,19.2
,SVMR,155,0.78,0.31,0.23,17.3,39,0.81,0.29,0.23,16.1
,,,,,,,,,,,
ADF (%DM),PLSR,155,0.42,2.44,1.95,7.9,39,0.51,2.73,2.28,8.9
,RFR,155,0.50,2.24,1.80,7.3,39,0.57,2.73,2.32,8.9
,GPR,155,0.49,2.27,1.83,7.4,39,0.54,2.78,2.38,9.0
,SVMR,155,0.52,2.22,1.76,7.2,39,0.62,2.45,2.18,7.9
